,price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
3694,94000.0,55.0,-34.6251817377,-58.4070359893,San Cristobal
3695,145000.0,50.0,-34.5770323,-58.4798783,Villa Urquiza
3696,195000.0,93.0,-34.565563,-58.4533167,Belgrano
3697,90000.0,41.0,-34.6162229,-58.4184465,Almagro
3698,239000.0,54.0,-34.5683783,-58.449379,Belgrano
3699,90000.0,41.0,-34.6239614,-58.4034766,Boedo
3700,139000.0,63.0,-34.6352242,-58.4676975,Flores
3701,84000.0,51.0,-34.633333,-58.466667,Flores
3702,169000.0,68.0,-34.6327422,-58.4408154,Parque Chacabuco
3703,100000.0,34.0,-34.5819463286,-58.4478355242,Palermo
3704,133808.18,56.0,-34.626394,-58.4594467,Flores
3705,143429.0,59.0,-34.6209278,-58.4458736,Caballito
3706,240000.0,82.0,-34.5912139,-58.3986378,Barrio Norte
3707,110000.0,51.0,-34.6412989,-58.3707635,Barracas
3708,87000.0,34.0,-34.6168909,-58.402719,Belgrano
3709,180000.0,74.0,-34.5653042899,-58.4379652889,Belgrano
3710,169000.0,43.0,-34.5747531701,-58.4407633688,Palermo
3711,98000.0,64.0,-34.6055538,-58.376534,San Nicolás
3712,85000.0,45.0,-34.6036844,-58.3815591,Parque Chacabuco
3713,85000.0,35.0,-34.5733653,-58.4384417,Belgrano
3714,192000.0,54.0,-34.5546708,-58.4673571,Nuñez
3715,158000.0,49.0,-34.5885144,-58.4120115,Palermo
3716,78000.0,34.0,-34.621327,-58.3757206,San Telmo
3717,191668.0,65.0,-34.5731507,-58.482362,Villa Urquiza
3718,233000.0,85.0,-34.5985872,-58.3973385,Barrio Norte
3719,89900.0,36.0,-34.5970189136,-58.4087784252,Palermo
3720,113000.0,45.0,-34.5469102,-58.47859,Saavedra
3721,218000.0,88.0,-34.5869637,-58.4212588,Palermo
3722,238000.0,59.0,-34.556256,-58.468448,Nuñez
3723,78493.0,34.0,-34.593422,-58.4423025,Villa Crespo
3724,69000.0,36.0,-34.6031,-58.401046,Balvanera
3725,100000.0,40.0,-34.6037603,-58.4879552,Villa del Parque
3726,127000.0,54.0,-34.65,-58.383333,Barracas
3727,110000.0,47.0,-34.6056046,-58.4962758,Villa del Parque
3728,245000.0,70.0,-34.5859825,-58.4148132,Barrio Norte
3729,140000.0,73.0,-34.569959,-58.444905,Palermo
3730,235000.0,100.0,-34.595688,-58.4031864,Palermo
3731,216902.91,68.0,-34.574537,-58.4554388,Colegiales
3732,135000.0,54.0,-34.613965,-58.42555,Almagro
3733,89900.0,60.0,,,Floresta
3734,160000.0,65.0,-34.6026301,-58.5017404,Villa del Parque
3735,206000.0,63.0,-34.5709978,-58.4440588,Colegiales
3736,149000.0,44.0,-34.575535,-58.438102,Belgrano
3737,160000.0,60.0,-34.5807444,-58.4247993,Palermo
3738,200000.0,75.0,-34.5947727,-58.3971933,Recoleta
3739,73004.22,31.0,-34.6227163,-58.3915063,Congreso
3740,90000.0,46.0,-34.6392306,-58.4643665,Flores
3741,119000.0,70.0,-34.627949,-58.396242,San Cristobal
3742,81751.57,42.0,-34.6321015,-58.3703767,Barracas
3743,325000.0,99.0,-34.565118,-58.442631,Belgrano
3744,110000.0,54.0,-34.5792,-58.454883,Chacarita
3745,69000.0,45.0,-34.638857,-58.510115,Villa Luro
3746,93000.0,35.0,-34.5720545,-58.4745649,Villa Urquiza
3747,128700.0,45.0,-34.5866135,-58.4390914,Palermo
3748,120000.0,51.0,-34.577168,-58.48704,Villa Urquiza
3749,180000.0,82.0,-34.605484,-58.508742,Villa Devoto
3750,89900.0,44.0,-34.5741558,-58.4931736,Villa Urquiza
3751,96418.18,42.0,-34.6321116,-58.3703982,Barracas
3752,152000.0,54.0,-34.6274228,-58.4296216,Caballito
3753,76661.01,31.0,-34.620556,-58.371667,San Telmo
3754,67000.0,33.0,-34.6255434,-58.4572347,Flores
3755,93000.0,40.0,,,Villa Urquiza
3756,81159.64,33.0,,,Villa Crespo
3757,100000.0,41.0,-34.5967593,-58.3799088,Barrio Norte
3758,75000.0,35.0,-34.5599177,-58.4451113,Belgrano
3759,225500.0,64.0,-34.62818,-58.429483,Caballito
3760,77016.16,33.0,-34.6233199695,-58.3974607122,Monserrat
3761,145000.0,83.0,-34.620248,-58.403256,San Cristobal
3762,127000.0,48.0,-34.645026,-58.373189,Barracas
3763,52064.0,66.0,-34.5413289,-58.473409,Nuñez
3764,117000.0,38.0,-34.5559731,-58.4620139,Nuñez
3765,150000.0,52.0,-34.5873707153,-58.4501901094,Chacarita
3766,160000.0,62.0,-34.6109561,-58.4162202,Almagro
3767,225700.0,67.0,-34.597769,-58.42644,Villa Crespo
3768,325000.0,100.0,-34.6014492,-58.4353446,Villa Crespo
3769,80000.0,40.0,-34.630345,-58.3856711,Constitución
3770,93000.0,50.0,-34.6086412353,-58.3906145696,Balvanera
3771,165000.0,66.0,-34.5492493,-58.4630319,Nuñez
3772,270000.0,100.0,-34.5893508,-58.408068,Barrio Norte
3773,90000.0,37.0,-34.6267194673,-58.4566024361,Caballito
3774,60000.0,34.0,-34.6630163,-58.514281,Mataderos
3775,145000.0,50.0,-34.564492,-58.4723806,Coghlan
